n,All(us),Perm1(us),Perm2(us)
1,2,0,26
1,1,0,13
1,1,0,16
1,1,0,53
1,1,0,17
2,3,0,15
2,3,0,10
2,3,0,19
2,3,0,15
2,3,0,12
3,10,0,11
3,9,0,13
3,9,0,12
3,9,0,12
3,10,0,11
4,37,0,2
4,42,0,2
4,73,0,2
4,8,0,1
4,39,0,2
5,206,196,3
5,200,192,3
5,79,70,25
5,195,195,3
5,25,25,56
6,1267,1047,3
6,1151,1264,4
6,416,381,43
6,1056,1131,4
6,180,130,27
7,8350,6055,4
7,5707,5985,6
7,2763,2205,30
7,2186,2409,3
7,8279,8014,5
8,12209,12215,6
8,5337,5105,27
8,50860,53104,10
8,50709,52111,4
8,16844,10396,38
9,5248,5794,3
9,9003,7040,25
9,21254,22286,30
9,6901,6037,23
9,92804,88949,28
10,887082,912124,23
10,4810973,4612600,9
10,611026,32753,8
10,37942,42968,29
10,4770377,5125988,13
